date,district,rainfall_mm,temperature_c,humidity_p,event_label
2023-02-15,Thiruvananthapuram,3.3,27.8,66.7,None
2023-02-16,Thiruvananthapuram,0.8,30.8,60.4,None
2023-02-17,Thiruvananthapuram,3.7,28.9,64.8,None
2023-02-18,Thiruvananthapuram,3.6,28.1,63.4,None
2023-02-19,Thiruvananthapuram,1.9,29.4,74.1,None
2023-02-20,Thiruvananthapuram,2.1,31.7,62.1,None
2023-02-21,Thiruvananthapuram,0.4,26.5,72.6,None
2023-02-22,Thiruvananthapuram,1.7,24.2,63.8,None
2023-02-23,Thiruvananthapuram,0.9,29.4,59.3,None
2023-02-24,Thiruvananthapuram,0.0,25.3,75.0,None
2023-02-25,Thiruvananthapuram,0.8,27.3,70.5,None
2023-02-26,Thiruvananthapuram,3.0,29.1,64.6,None
2023-02-27,Thiruvananthapuram,2.5,28.6,70.3,None
2023-02-28,Thiruvananthapuram,4.8,25.5,68.5,None
2023-03-01,Thiruvananthapuram,0.5,30.3,65.3,None
2023-03-02,Thiruvananthapuram,5.9,34.9,62.0,None
2023-03-03,Thiruvananthapuram,7.2,35.4,85.4,None
2023-03-04,Thiruvananthapuram,9.2,34.5,62.4,None
2023-03-05,Thiruvananthapuram,1.4,32.0,63.5,None
2023-03-06,Thiruvananthapuram,1.2,29.8,73.3,None
2023-03-07,Thiruvananthapuram,5.9,35.0,76.9,None
2023-03-08,Thiruvananthapuram,3.2,37.9,61.5,Heatwave
2023-03-09,Thiruvananthapuram,4.4,33.3,55.7,None
2023-03-10,Thiruvananthapuram,5.9,36.8,67.2,None
2023-03-11,Thiruvananthapuram,4.7,41.1,57.6,Heatwave
2023-03-12,Thiruvananthapuram,5.9,28.0,65.0,None
2023-03-13,Thiruvananthapuram,5.6,35.7,73.2,None
2023-03-14,Thiruvananthapuram,8.0,30.2,56.8,None
2023-03-15,Thiruvananthapuram,5.1,35.4,67.2,None
2023-03-16,Thiruvananthapuram,6.9,34.1,81.6,None
2023-03-17,Thiruvananthapuram,9.0,30.9,87.7,None
2023-03-18,Thiruvananthapuram,6.9,35.9,79.4,None
2023-03-19,Thiruvananthapuram,9.2,36.2,64.7,None
2023-03-20,Thiruvananthapuram,6.4,33.4,54.6,None
2023-03-21,Thiruvananthapuram,1.4,37.7,83.2,Heatwave
2023-03-22,Thiruvananthapuram,3.4,38.0,68.9,Heatwave
2023-03-23,Thiruvananthapuram,3.9,38.0,64.7,Heatwave
2023-03-24,Thiruvananthapuram,5.4,36.8,75.9,None
2023-03-25,Thiruvananthapuram,6.0,34.8,66.8,None
2023-03-26,Thiruvananthapuram,1.2,40.0,58.7,Heatwave
2023-03-27,Thiruvananthapuram,10.0,33.1,69.3,None
2023-03-28,Thiruvananthapuram,8.4,32.2,60.1,None
2023-03-29,Thiruvananthapuram,4.6,31.3,64.4,None
2023-03-30,Thiruvananthapuram,5.7,30.2,84.2,None
2023-03-31,Thiruvananthapuram,6.0,32.3,80.6,None
2023-04-01,Thiruvananthapuram,2.4,36.8,80.9,None
2023-04-02,Thiruvananthapuram,4.5,38.0,71.8,Heatwave
2023-04-03,Thiruvananthapuram,4.3,31.3,76.2,None
2023-04-04,Thiruvananthapuram,8.0,38.1,74.3,Heatwave
2023-04-05,Thiruvananthapuram,1.6,32.5,54.1,None
2023-04-06,Thiruvananthapuram,1.5,32.6,79.3,None
2023-04-07,Thiruvananthapuram,6.4,33.3,87.6,None
2023-04-08,Thiruvananthapuram,1.8,34.1,58.3,None
2023-04-09,Thiruvananthapuram,6.3,37.8,76.2,Heatwave
2023-04-10,Thiruvananthapuram,4.6,31.6,80.8,None
2023-04-11,Thiruvananthapuram,2.1,30.6,62.1,None
2023-04-12,Thiruvananthapuram,2.6,37.2,67.7,Heatwave
2023-04-13,Thiruvananthapuram,2.4,35.1,55.1,None
2023-04-14,Thiruvananthapuram,2.2,32.4,71.2,None
2023-04-15,Thiruvananthapuram,0.6,34.8,70.6,None
2023-04-16,Thiruvananthapuram,5.2,34.7,65.3,None
2023-04-17,Thiruvananthapuram,0.8,36.3,64.7,None
2023-04-18,Thiruvananthapuram,5.0,34.8,78.2,None
2023-04-19,Thiruvananthapuram,0.5,35.1,79.0,None
2023-04-20,Thiruvananthapuram,4.8,34.6,99.9,None
2023-04-21,Thiruvananthapuram,4.7,30.8,75.4,None
2023-04-22,Thiruvananthapuram,9.8,37.9,59.1,Heatwave
2023-04-23,Thiruvananthapuram,1.4,33.4,80.0,None
2023-04-24,Thiruvananthapuram,0.9,36.0,81.7,None
2023-04-25,Thiruvananthapuram,7.3,35.0,68.4,None
2023-04-26,Thiruvananthapuram,10.0,33.4,76.2,None
2023-04-27,Thiruvananthapuram,8.4,33.2,66.5,None
2023-04-28,Thiruvananthapuram,2.1,38.9,68.3,Heatwave
2023-04-29,Thiruvananthapuram,0.4,33.1,65.4,None
